# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
   16.032262525    2.340991870    2.340991870    2.340991777
   16.072340681    2.242195041    2.242195041    2.242194949
   16.112418838    2.078037939    2.078037939    2.078037852
   16.152496994    1.901980697    1.901980697    1.901980613
   16.192575150    1.751510981    1.751510981    1.751510900
   16.232653307    1.649081403    1.649081403    1.649081322
   16.272731463    1.649704499    1.649704499    1.649704415
   16.312809619    1.731665426    1.731665426    1.731665340
   16.352887776    1.752023606    1.752023606    1.752023522
   16.392965932    1.659621530    1.659621531    1.659621446
   16.433044088    1.566614720    1.566614721    1.566614632
   16.473122244    1.532750633    1.532750633    1.532750541
   16.513200401    1.566816230    1.566816231    1.566816137
   16.553278557    1.630873702    1.630873703    1.630873613
   16.593356713    1.699305517    1.699305518    1.699305429
   16.633434870    1.828297478    1.828297479    1.828297388
   16.673513026    1.993344572    1.993344574    1.993344482
   16.713591182    2.116445509    2.116445510    2.116445420
   16.753669339    2.127462184    2.127462186    2.127462097
   16.793747495    1.997904410    1.997904412    1.997904321
   16.833825651    1.786120502    1.786120504    1.786120413
   16.873903808    1.602559321    1.602559323    1.602559232
   16.913981964    1.489585281    1.489585282    1.489585191
   16.954060120    1.446991747    1.446991748    1.446991655
   16.994138277    1.459386882    1.459386883    1.459386788
   17.034216433    1.462422929    1.462422929    1.462422833
   17.074294589    1.436637151    1.436637151    1.436637052
   17.114372745    1.417890814    1.417890814    1.417890712
   17.154450902    1.413694135    1.413694134    1.413694032
   17.194529058    1.389805117    1.389805116    1.389805014
   17.234607214    1.381822826    1.381822825    1.381822723
   17.274685371    1.434286959    1.434286958    1.434286856
   17.314763527    1.535057608    1.535057608    1.535057505
   17.354841683    1.678074229    1.678074228    1.678074122
   17.394919840    1.839320369    1.839320369    1.839320261
   17.434997996    1.977588369    1.977588369    1.977588262
   17.475076152    2.052816988    2.052816988    2.052816881
   17.515154309    2.014073344    2.014073344    2.014073239
   17.555232465    1.868436490    1.868436491    1.868436388
   17.595310621    1.686454949    1.686454949    1.686454848
   17.635388778    1.529151243    1.529151244    1.529151142
   17.675466934    1.407342389    1.407342390    1.407342287
   17.715545090    1.325333953    1.325333954    1.325333849
   17.755623246    1.300373937    1.300373939    1.300373833
   17.795701403    1.318610655    1.318610657    1.318610555
   17.835779559    1.298552059    1.298552061    1.298551962
   17.875857715    1.230703846    1.230703848    1.230703749
   17.915935872    1.187157940    1.187157941    1.187157840
   17.956014028    1.190797363    1.190797364    1.190797261
   17.996092184    1.192090232    1.192090232    1.192090124
