# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    5.972645291    0.626324805    0.626324800    0.626324798
    6.012723447    0.712019290    0.712019286    0.712019281
    6.052801603    0.833586763    0.833586759    0.833586752
    6.092879760    0.944730811    0.944730807    0.944730800
    6.132957916    1.022491403    1.022491398    1.022491391
    6.173036072    1.110380706    1.110380702    1.110380694
    6.213114228    1.239219111    1.239219106    1.239219097
    6.253192385    1.386083555    1.386083550    1.386083541
    6.293270541    1.504295807    1.504295802    1.504295795
    6.333348697    1.543769659    1.543769655    1.543769651
    6.373426854    1.546943258    1.546943254    1.546943250
    6.413505010    1.582599857    1.582599853    1.582599850
    6.453583166    1.633083689    1.633083684    1.633083686
    6.493661323    1.685005489    1.685005484    1.685005487
    6.533739479    1.739939349    1.739939345    1.739939345
    6.573817635    1.762205696    1.762205692    1.762205692
    6.613895792    1.768934004    1.768933999    1.768933998
    6.653973948    1.806453015    1.806453010    1.806453008
    6.694052104    1.889499141    1.889499136    1.889499132
    6.734130261    1.999624909    1.999624904    1.999624899
    6.774208417    2.105034482    2.105034477    2.105034470
    6.814286573    2.219855881    2.219855877    2.219855868
    6.854364729    2.318943343    2.318943339    2.318943331
    6.894442886    2.357897719    2.357897715    2.357897713
    6.934521042    2.351624533    2.351624529    2.351624532
    6.974599198    2.320108443    2.320108439    2.320108448
    7.014677355    2.222762021    2.222762016    2.222762032
    7.054755511    2.091208574    2.091208569    2.091208584
    7.094833667    2.015797304    2.015797299    2.015797309
    7.134911824    1.986982072    1.986982067    1.986982077
    7.174989980    1.938021507    1.938021501    1.938021513
    7.215068136    1.859250909    1.859250904    1.859250915
    7.255146293    1.786836414    1.786836409    1.786836415
    7.295224449    1.778727029    1.778727024    1.778727026
    7.335302605    1.842466280    1.842466275    1.842466275
    7.375380762    1.909820457    1.909820452    1.909820454
    7.415458918    1.910033991    1.910033985    1.910033992
    7.455537074    1.852639433    1.852639427    1.852639435
    7.495615230    1.804113846    1.804113841    1.804113844
    7.535693387    1.815097439    1.815097433    1.815097433
    7.575771543    1.885750012    1.885750006    1.885750003
    7.615849699    2.000826229    2.000826223    2.000826218
    7.655927856    2.092827375    2.092827369    2.092827367
    7.696006012    2.095914770    2.095914764    2.095914769
    7.736084168    2.033715442    2.033715436    2.033715443
    7.776162325    1.968651243    1.968651237    1.968651241
    7.816240481    1.927228517    1.927228512    1.927228516
    7.856318637    1.875625263    1.875625257    1.875625265
    7.896396794    1.824644416    1.824644410    1.824644419
    7.936474950    1.819726097    1.819726091    1.819726096
    7.976553106    1.875319060    1.875319054    1.875319056
    8.016631263    1.961485125    1.961485119    1.961485120
    8.056709419    2.037756319    2.037756313    2.037756318
    8.096787575    2.059908341    2.059908335    2.059908344
    8.136865731    1.990926830    1.990926824    1.990926836
    8.176943888    1.872180625    1.872180618    1.872180629
    8.217022044    1.793400335    1.793400329    1.793400334
    8.257100200    1.801188045    1.801188039    1.801188040
    8.297178357    1.855769342    1.855769336    1.855769337
    8.337256513    1.884560275    1.884560268    1.884560273
    8.377334669    1.857185552    1.857185545    1.857185553
    8.417412826    1.800184735    1.800184728    1.800184736
    8.457490982    1.782005944    1.782005937    1.782005941
    8.497569138    1.796041842    1.796041835    1.796041838
    8.537647295    1.805632928    1.805632921    1.805632923
    8.577725451    1.821585493    1.821585486    1.821585487
    8.617803607    1.858825264    1.858825257    1.858825257
    8.657881764    1.894043803    1.894043797    1.894043798
    8.697959920    1.921219371    1.921219364    1.921219368
    8.738038076    1.897262615    1.897262608    1.897262619
    8.778116232    1.806939685    1.806939678    1.806939691
    8.818194389    1.711764367    1.711764360    1.711764372
    8.858272545    1.640821976    1.640821969    1.640821980
    8.898350701    1.584177069    1.584177062    1.584177074
    8.938428858    1.509762859    1.509762852    1.509762863
    8.978507014    1.441696773    1.441696766    1.441696773
    9.018585170    1.434284863    1.434284856    1.434284859
    9.058663327    1.486572542    1.486572535    1.486572535
    9.098741483    1.541949471    1.541949465    1.541949465
    9.138819639    1.537983354    1.537983347    1.537983349
    9.178897796    1.497010506    1.497010499    1.497010502
    9.218975952    1.467874550    1.467874542    1.467874548
    9.259054108    1.449477229    1.449477221    1.449477228
    9.299132265    1.463460477    1.463460469    1.463460476
    9.339210421    1.498279891    1.498279883    1.498279891
    9.379288577    1.531450370    1.531450362    1.531450370
    9.419366733    1.525302299    1.525302292    1.525302300
    9.459444890    1.461567678    1.461567671    1.461567681
