wl	n
10.35	0.286735
10.36	0.286971
10.37	0.287209
10.38	0.287447
10.39	0.287687
10.40	0.287928
10.41	0.288170
10.42	0.288413
10.43	0.288658
10.44	0.288904
10.45	0.289151
10.46	0.289399
10.47	0.289648
10.48	0.289898
10.49	0.290150
10.50	0.290403
10.51	0.290657
10.52	0.290911
10.53	0.291168
10.54	0.291425
10.55	0.291683
10.56	0.291942
10.57	0.292203
10.58	0.292465
10.59	0.292727
10.60	0.292991
10.61	0.293256
10.62	0.293522
10.63	0.293788
10.64	0.294056
10.65	0.294325
10.66	0.294595
10.67	0.294866
10.68	0.295139
10.69	0.295412
10.70	0.295686
10.71	0.295961
10.72	0.296237
10.73	0.296514
10.74	0.296792
10.75	0.297071
10.76	0.297351
10.77	0.297632
10.78	0.297914
10.79	0.298197
10.80	0.298481
10.81	0.298766
10.82	0.299052
10.83	0.299339
10.84	0.299626
10.85	0.299915
10.86	0.300204
10.87	0.300495
10.88	0.300786
10.89	0.301079
10.90	0.301372
10.91	0.301666
10.92	0.301961
10.93	0.302257
10.94	0.302554
10.95	0.302851
10.96	0.303150
10.97	0.303449
10.98	0.303750
10.99	0.304051
11.00	0.304353
11.01	0.304656
11.02	0.304960
11.03	0.305264
11.04	0.305570
11.05	0.305876
11.06	0.306183
11.07	0.306491
11.08	0.306800
11.09	0.307110
11.10	0.307420
11.11	0.307732
11.12	0.308044
11.13	0.308357
11.14	0.308670
11.15	0.308985
11.16	0.309300
11.17	0.309617
11.18	0.309934
11.19	0.310251
11.20	0.310570
11.21	0.310889
11.22	0.311209
11.23	0.311530
11.24	0.311852
11.25	0.312174
11.26	0.312498
11.27	0.312822
11.28	0.313147
11.29	0.313472
11.30	0.313798
11.31	0.314125
11.32	0.314453
11.33	0.314782
11.34	0.315111
11.35	0.315441
11.36	0.315772
11.37	0.316104
11.38	0.316436
11.39	0.316769
11.40	0.317103
11.41	0.317437
11.42	0.317772
11.43	0.318108
11.44	0.318445
11.45	0.318782
11.46	0.319120
11.47	0.319459
11.48	0.319798
11.49	0.320139
11.50	0.320480
11.51	0.320821
11.52	0.321163
11.53	0.321506
11.54	0.321850
11.55	0.322195
11.56	0.322540
11.57	0.322885
11.58	0.323232
11.59	0.323579
11.60	0.323927
11.61	0.324275
11.62	0.324624
