wl	n
0.6700	3.583
0.6800	3.671
0.6900	3.757
0.7000	3.841
0.7100	3.923
0.7200	4.004
0.7300	4.084
0.7400	4.162
0.7500	4.240
0.7600	4.318
0.7700	4.396
0.7800	4.474
0.7900	4.550
0.8000	4.626
0.8100	4.699
0.8200	4.772
0.8300	4.843
0.8400	4.913
0.8500	4.982
0.8600	5.049
0.8700	5.116
0.8800	5.184
0.8900	5.253
0.9000	5.321
0.9100	5.387
0.9200	5.455
0.9300	5.522
0.9400	5.589
0.9500	5.656
0.9600	5.725
0.9700	5.795
0.9800	5.865
0.9900	5.934
1.0000	6.000
1.0097	6.128
1.0100	6.064
1.0300	6.195
1.0400	6.263
1.0500	6.331
1.0600	6.400
1.0700	6.469
1.0800	6.538
1.0900	6.608
1.1000	6.676
1.1100	6.743
1.1200	6.807
1.1300	6.870
1.1400	6.935
1.1500	7.001
1.1600	7.067
1.1700	7.133
1.1800	7.201
1.1900	7.269
1.2000	7.337
1.2100	7.402
1.2200	7.464
1.2300	7.528
1.2400	7.594
1.2500	7.662
1.2600	7.730
1.2700	7.795
1.2800	7.859
1.2900	7.924
1.3000	7.989
1.3100	8.052
1.3200	8.116
1.3314	8.179
1.3400	8.242
1.3500	8.305
1.3600	8.367
1.3700	8.429
1.3800	8.491
1.3900	8.553
1.4000	8.617
1.4100	8.680
1.4200	8.743
1.4300	8.807
1.4400	8.872
1.4500	8.938
1.4600	9.004
1.4700	9.071
1.4800	9.137
1.4900	9.202
1.5000	9.267
1.5100	9.330
1.5200	9.392
1.5300	9.452
1.5400	9.515
1.5500	9.579
1.5600	9.644
1.5700	9.710
1.5800	9.775
1.5900	9.839
1.6000	9.902
1.6100	9.966
1.6201	10.030
1.6300	10.093
1.6401	10.154
1.6500	10.215
1.6600	10.274
1.6700	10.334
1.6800	10.394
1.6900	10.454
1.7000	10.514
1.7100	10.574
1.7200	10.634
1.7300	10.694
1.7400	10.754
1.7500	10.816
1.7600	10.879
1.7700	10.942
1.7800	11.005
1.7900	11.067
1.8000	11.130
1.8100	11.191
1.8200	11.255
1.8300	11.321
1.8400	11.389
1.8500	11.456
1.8600	11.520
1.8700	11.583
1.8800	11.642
1.8900	11.703
1.9000	11.766
1.9100	11.831
1.9200	11.897
1.9300	11.962
1.9400	12.027
1.9500	12.091
1.9600	12.156
1.9700	12.221
