wl	n
6.1433	1.47981
6.1725	1.47641
6.2020	1.47325
6.2319	1.47075
6.2620	1.46782
6.2924	1.46437
6.3231	1.46119
6.3541	1.45837
6.3854	1.45599
6.4170	1.45332
6.4489	1.45022
6.4811	1.44677
6.5137	1.44267
6.5466	1.43865
6.5798	1.43289
6.6134	1.42485
6.6473	1.41211
6.6816	1.40010
6.7162	1.40407
6.7512	1.41925
6.7865	1.42839
6.8223	1.42640
6.8583	1.42716
6.8948	1.44208
6.9317	1.46484
6.9690	1.49232
7.0066	1.50573
7.0447	1.49279
7.0832	1.47112
7.1221	1.45677
7.1615	1.45125
7.2013	1.45536
7.2415	1.46115
7.2822	1.45959
7.3233	1.45466
7.3649	1.45062
7.4070	1.44538
7.4496	1.43947
7.4926	1.43269
7.5362	1.42526
7.5803	1.41714
7.6249	1.40742
7.6700	1.39600
7.7156	1.38276
7.7618	1.36666
7.8086	1.35944
7.8559	1.37624
7.9038	1.39786
7.9523	1.39825
8.0014	1.40121
8.0511	1.43175
8.1014	1.46268
8.1524	1.46081
8.2040	1.42745
8.2562	1.38049
8.3091	1.35741
8.3628	1.39213
8.4171	1.44491
8.4721	1.46234
8.5278	1.45590
8.5843	1.44851
8.6415	1.47517
8.6995	1.57461
8.7583	1.68010
8.8179	1.70927
8.8783	1.68768
8.9395	1.66124
9.0016	1.63853
9.0645	1.61902
9.1284	1.60238
9.1931	1.58876
9.2588	1.57771
9.3254	1.57241
9.3930	1.57482
9.4615	1.57671
9.5311	1.56890
9.6017	1.55600
9.6733	1.54576
9.7461	1.53653
9.8199	1.52516
9.8949	1.51006
9.9710	1.49760
10.048	1.50342
10.127	1.52393
10.207	1.53760
10.288	1.54211
10.370	1.54943
10.453	1.55606
10.538	1.55564
10.625	1.55099
10.713	1.54408
10.802	1.53806
10.893	1.53598
10.985	1.53809
11.079	1.53925
11.174	1.53546
11.272	1.53047
11.370	1.52555
11.471	1.52025
11.573	1.51577
11.678	1.51261
11.784	1.51555
11.892	1.52682
12.002	1.53382
12.114	1.53231
12.229	1.52986
12.345	1.52916
12.464	1.52878
12.585	1.52539
12.708	1.52006
12.834	1.51388
12.962	1.50846
13.093	1.50305
13.227	1.51166
13.363	1.53752
13.502	1.54967
13.645	1.54161
13.790	1.53237
13.938	1.52831
14.089	1.52547
14.244	1.52376
14.403	1.52155
14.564	1.51834
14.730	1.51581
14.899	1.51541
15.072	1.51500
15.250	1.51263
15.431	1.51126
15.617	1.50974
15.808	1.50641
16.003	1.50594
16.203	1.50869
16.408	1.50994
16.618	1.50916
16.834	1.50654
17.056	1.50484
17.283	1.50405
17.517	1.50133
17.757	1.49797
18.003	1.49843
18.257	1.49981
18.518	1.49776
18.786	1.49549
19.062	1.49301
19.347	1.48787
19.640	1.48558
19.942	1.48818

wl	k
0.40	2.34E-07
0.41	2.12E-07
0.42	2.05E-07
0.43	1.92E-07
0.44	1.68E-07
0.45	1.74E-07
0.46	1.46E-07
0.47	1.35E-07
0.48	1.51E-07
0.49	1.46E-07
0.50	1.55E-07
0.51	1.49E-07
0.52	1.53E-07
0.53	1.56E-07
0.54	1.66E-07
0.55	1.74E-07
0.56	1.78E-07
0.57	1.86E-07
0.58	1.92E-07
0.59	1.78E-07
0.60	2.43E-07
0.61	2.11E-07
0.62	1.98E-07
0.63	1.77E-07
0.64	1.79E-07
0.65	1.58E-07
0.66	1.48E-07
0.67	1.33E-07
0.68	1.15E-07
0.69	1.23E-07
0.70	1.36E-07
0.71	1.31E-07
0.72	1.53E-07
0.73	1.62E-07
0.74	1.62E-07
0.75	1.49E-07
0.76	1.04E-07
0.77	6.31E-08
0.78	1.40E-07
0.79	1.13E-07
0.80	9.92E-08
0.81	8.90E-08
0.82	1.26E-07
0.83	3.68E-08
0.84	7.54E-08
0.85	1.05E-07
0.86	1.50E-07
0.87	3.89E-08
0.88	6.32E-08
0.89	4.55E-07
0.90	1.82E-07
0.91	8.71E-07
0.92	6.45E-07
0.93	4.64E-07
0.94	4.39E-07
0.95	8.95E-08
0.96	6.18E-07
0.97	7.49E-08
0.98	9.96E-08
0.99	4.82E-07
1.00	1.21E-07
1.01	8.89E-07
1.02	7.97E-07
1.03	7.87E-07
1.04	7.96E-07
1.05	6.94E-07
1.06	6.99E-07
1.07	6.30E-07
1.08	6.00E-07
1.09	7.77E-07
1.10	7.54E-07
1.11	1.20E-06
1.12	1.60E-06
1.13	2.78E-06
1.14	4.05E-06
1.15	5.13E-06
1.16	6.96E-06
1.17	8.61E-06
1.18	8.52E-06
1.19	5.91E-06
1.20	4.17E-06
1.21	2.79E-06
1.22	1.87E-06
1.23	1.56E-06
1.24	1.33E-06
1.25	1.18E-06
1.26	9.54E-07
1.27	1.10E-06
1.28	1.04E-06
1.29	1.08E-06
1.30	1.09E-06
1.31	1.19E-06
1.32	1.46E-06
1.33	2.39E-06
1.34	6.26E-06
1.35	8.95E-06
1.36	1.00E-05
1.37	1.19E-05
1.38	1.20E-05
1.39	1.25E-05
1.40	1.11E-05
1.41	1.12E-05
1.42	1.20E-05
1.43	1.19E-05
1.44	1.03E-05
1.45	7.85E-06
1.46	6.07E-06
1.47	5.42E-06
1.48	3.92E-06
1.49	3.97E-06
1.50	3.48E-06
1.51	3.16E-06
1.52	2.99E-06
1.53	2.95E-06
1.54	2.95E-06
1.55	3.39E-06
1.56	3.45E-06
1.57	3.69E-06
1.58	4.06E-06
1.59	4.55E-06
1.60	5.14E-06
1.61	6.47E-06
1.62	9.39E-06
1.63	1.01E-05
1.64	1.17E-05
1.65	1.82E-05
1.66	4.11E-05
1.67	6.07E-05
1.68	8.46E-05
1.69	6.41E-05
1.70	6.74E-05
1.71	6.21E-05
1.72	6.38E-05
1.73	5.83E-05
1.74	5.01E-05
1.75	4.16E-05
1.76	3.43E-05
1.77	3.15E-05
1.78	3.36E-05
1.79	3.08E-05
1.80	2.56E-05
1.81	2.19E-05
1.82	2.02E-05
1.83	2.01E-05
1.84	2.04E-05
1.85	2.22E-05
1.86	2.38E-05
1.87	2.27E-05
1.88	2.53E-05
1.89	3.64E-05
1.90	6.07E-05
1.91	7.26E-05
1.92	5.15E-05
1.93	3.78E-05
1.94	3.73E-05
1.95	3.93E-05
1.96	3.09E-05
1.97	2.48E-05
