lambda_um n_glass k_glass n_ag k_ag I
8.0 0.4113 0.323 16.94322580645161 47.37016129032258 0.0071043
8.065 0.3931 0.446 17.12281451612903 47.72071572580644 0.0071043
8.13 0.402 0.553 17.302403225806454 48.07127016129032 0.0071043
8.197 0.4329 0.635 17.48751774193548 48.432610887096764 0.0071043
8.265 0.453 0.704 17.675395161290325 48.799344758064514 0.0071043
8.333 0.46 0.771 17.863272580645162 49.166078629032256 0.0071043
8.403 0.473 0.84 18.056675806451615 49.54359879032258 0.0071043
8.475 0.4746 0.903 18.255604838709676 49.931905241935475 0.0071043
8.547 0.4656 0.978 18.454533870967744 50.32021169354839 0.0071043
8.621 0.4563 1.07 18.65898870967742 50.71930443548387 0.0071043
8.696 0.4309 1.17 18.866206451612904 51.12379032258064 0.0071043
8.772 0.3915 1.32 19.076187096774195 51.53366935483871 0.0071043
8.85 0.3563 1.53 19.291693548387098 51.95433467741935 0.0071043
8.929 0.3705 1.85 19.50996290322581 52.380393145161285 0.0071043
9.009 0.5846 2.27 19.730995161290323 52.81184475806452 0.0071043
9.091 1.043 2.55 19.95755322580645 53.25408266129031 0.0071043
9.174 1.616 2.63 20.186874193548388 53.70171370967741 0.0071043
9.302 2.25 2.26 20.540525806451612 54.39203629032257 0.0071043
9.524 2.76 1.65 21.153890322580644 55.58931451612902 0.0071043
9.756 2.839 0.962 21.794883870967745 56.84052419354838 0.0071043
10.0 2.694 0.509 22.469032258064516 58.15645161290322 0.0071043
10.26 2.448 0.231 23.187387096774195 59.558669354838706 0.0071043
10.53 2.224 0.102 23.933370967741936 61.01481854838709 0.0071043
10.81 2.038 0.046 24.706983870967743 62.524899193548386 0.0071043
11.11 1.869 0.0506 25.535854838709678 64.14284274193548 0.0071043
11.36 1.784 0.0775 26.22658064516129 65.49112903225806 0.0071043
11.63 1.69 0.116 26.972564516129037 66.94727822580646 0.0071043
11.76 1.652 0.152 27.331741935483873 67.64838709677419 0.0071043
11.9 1.619 0.204 27.718548387096778 68.40342741935484 0.0071043
12.05 1.615 0.267 28.132983870967745 69.21239919354838 0.0071043
12.2 1.658 0.323 28.54741935483871 70.02137096774192 0.0071043
12.35 1.701 0.341 28.961854838709677 70.83034274193548 0.0071043
12.5 1.753 0.343 29.1 71.1 0.0071043
12.66 1.789 0.314 29.1 71.1 0.0071043
12.82 1.811 0.275 29.1 71.1 0.0071043
12.99 1.81 0.227 29.1 71.1 0.0071043
13.16 1.779 0.192 29.1 71.1 0.0071043
13.33 1.756 0.177 29.1 71.1 0.0071043
13.79 1.698 0.157 29.1 71.1 0.0071043
14.29 1.643 0.157 29.1 71.1 0.0071043
14.81 1.598 0.168 29.1 71.1 0.0071043
15.38 1.555 0.182 29.1 71.1 0.0071043
16.0 1.502 0.202 29.1 71.1 0.0071043
16.67 1.45 0.235 29.1 71.1 0.0071043
17.24 1.401 0.264 29.1 71.1 0.0071043
17.86 1.337 0.298 29.1 71.1 0.0071043
18.52 1.235 0.341 29.1 71.1 0.0071043
18.97 1.161 0.377 29.1 71.1 0.0071043
19.23 1.05 0.415 29.1 71.1 0.0071043
19.61 0.8857 0.524 29.1 71.1 0.0071043
